#Episode,#Frame,#Epsode Timesteps,Total episode score,Last Mean Batch Loss
582,72085,5979,5978.0,36.70224779844284
583,72601,516,515.0,26.003450911045075
584,73587,986,985.0,25.398762885332108
585,74303,716,715.0,27.844350004792215
586,75508,1205,1204.0,45.16015310883522
587,75592,84,83.0,22.47610926270485
588,75705,113,112.0,30.47085091114044
589,75853,148,147.0,21.53401978611946
590,76493,640,639.0,21.98340924233198
591,82589,6096,6095.0,19.52722801923752
592,83319,730,729.0,27.73880299925804
593,83571,252,251.0,23.61272827208042
594,94820,11249,11248.0,23.20273451447487
595,105051,10231,10230.0,25.962958777248858
596,105214,163,162.0,12.879278960227966
597,105391,177,176.0,26.394584966301917
598,105500,109,108.0,19.794163790941237
599,105625,125,124.0,9.62793849170208
600,105962,337,336.0,12.02874347269535
601,106090,128,127.0,18.85017279058695
602,131404,25314,25313.0,16.06270989924669
